vProteins,hProteins
P03256,P10827
P03259,Q9NPA8
P03256,Q9HAT0
P89079,Q12959
P89079,Q12959
Q6H1D8,P06400
Q6H1D8,Q13363
Q64866,P63151
Q64866,P63151
Q64866,Q9H7D0
P03256,P06400
P03256,P10827
P03256,Q9HAT0
P12533,P06400
Q64770,Q13547
Q64770,Q66K89
Q64770,Q66K89
Q64770,Q66K89
Q64770,Q66K89
Q8JSK4,P06400
Q8JSK4,P20226
Q8JSK4,P25490
Q8JSK4,P25490
Q8JSK4,P25490
Q8JSK4,P25490
Q8JSK4,Q01860
Q8JSK4,Q01860
Q8JSK4,D2IYK3
Q8JSK4,D2IYK3
J9Z5B4,P06400
J9Z5B4,Q01860
J9Z5B4,O00268
J9Z5B4,P28749
J9Z5B4,P62826
J9Z5B4,P06400
J9Z5B4,Q08999
J9Z5B4,P78396
J9Z5B4,P28749
J9Z5B4,P06400
J9Z5B4,P62826
J9Z5B4,P28749
J9Z5B4,P06400
J9Z5B4,Q01860
J9Z5B4,Q08999
